"","Season","CDC.Week","Week.Ending.Date","Count"
"58100","2020-2021",40,2020-10-03,0
"66526","2020-2021",41,2020-10-10,0
"73149","2020-2021",42,2020-10-17,1
"63654","2020-2021",43,2020-10-24,0
"75078","2020-2021",44,2020-10-31,1
"73305","2020-2021",45,2020-11-07,3
"81333","2020-2021",46,2020-11-14,2
"59943","2020-2021",47,2020-11-21,3
"75977","2020-2021",48,2020-11-28,0
"62428","2020-2021",49,2020-12-05,11
"79798","2020-2021",50,2020-12-12,1
"76470","2020-2021",51,2020-12-19,11
"58229","2020-2021",52,2020-12-26,10
"76270","2020-2021",53,2021-01-02,2
"63422","2020-2021",1,2021-01-09,1
"72801","2020-2021",2,2021-01-16,2
"63017","2020-2021",3,2021-01-23,2
"76567","2020-2021",4,2021-01-30,32
"69178","2020-2021",5,2021-02-06,31
"71799","2020-2021",6,2021-02-13,2
"79175","2020-2021",7,2021-02-20,4
"71349","2020-2021",8,2021-02-27,4
"67732","2020-2021",9,2021-03-06,2
"64404","2020-2021",10,2021-03-13,1
"73382","2020-2021",11,2021-03-20,0
"79080","2020-2021",12,2021-03-27,3
"80895","2020-2021",13,2021-04-03,2
"69024","2020-2021",14,2021-04-10,3
"63219","2020-2021",15,2021-04-17,2
"61104","2020-2021",16,2021-04-24,0
"66202","2020-2021",17,2021-05-01,1
"41294","2020-2021",18,2021-05-08,0
"77787","2020-2021",19,2021-05-15,0
"75049","2020-2021",20,2021-05-22,1
"82498","2021-2022",40,2021-10-09,8
"73800","2021-2022",41,2021-10-16,4
"65642","2021-2022",42,2021-10-23,2
"78445","2021-2022",43,2021-10-30,2
"61643","2021-2022",44,2021-11-06,5
"81284","2021-2022",45,2021-11-13,3
"75538","2021-2022",46,2021-11-20,3
"65069","2021-2022",47,2021-11-27,3
"79267","2021-2022",48,2021-12-04,8
"58057","2021-2022",49,2021-12-11,6
"58461","2021-2022",50,2021-12-18,6
"63348","2021-2022",51,2021-12-25,7
"76654","2021-2022",52,2022-01-01,5
"59113","2021-2022",1,2022-01-08,5
"75722","2021-2022",2,2022-01-15,4
"72162","2021-2022",3,2022-01-22,1
"41518","2021-2022",4,2022-01-29,0
"66812","2021-2022",5,2022-02-05,3
"71712","2021-2022",6,2022-02-12,2
"77604","2021-2022",7,2022-02-19,2
"68757","2021-2022",8,2022-02-26,0
"59079","2021-2022",9,2022-03-05,1
"76475","2021-2022",10,2022-03-12,9
"59921","2021-2022",11,2022-03-19,0
"68088","2021-2022",12,2022-03-26,2
"68440","2021-2022",13,2022-04-02,2
"59583","2021-2022",14,2022-04-09,2
"77102","2021-2022",15,2022-04-16,0
"72928","2021-2022",16,2022-04-23,0
"82400","2021-2022",17,2022-04-30,4
"78996","2021-2022",18,2022-05-07,1
"76281","2021-2022",19,2022-05-14,3
"62930","2021-2022",20,2022-05-21,0
"68739","2021-2022",21,2022-05-28,3
"59420","2021-2022",22,2022-06-04,0
"79107","2021-2022",23,2022-06-11,3
"64630","2021-2022",24,2022-06-18,1
"73569","2021-2022",25,2022-06-25,0
"77163","2022-2023",40,2022-10-08,7
"65112","2022-2023",41,2022-10-15,5
"76398","2022-2023",42,2022-10-22,5
"78323","2022-2023",43,2022-10-29,5
"69314","2022-2023",44,2022-11-05,7
"60459","2022-2023",45,2022-11-12,8
"64599","2022-2023",46,2022-11-19,12
"71039","2022-2023",47,2022-11-26,9
"80689","2022-2023",48,2022-12-03,5
"67322","2022-2023",49,2022-12-10,17
"59944","2022-2023",50,2022-12-17,17
"63959","2022-2023",51,2022-12-24,7
"60766","2022-2023",52,2022-12-31,5
"80167","2022-2023",1,2023-01-07,28
"70347","2022-2023",2,2023-01-14,28
"65870","2022-2023",3,2023-01-21,20
"72657","2022-2023",4,2023-01-28,30
"82290","2022-2023",5,2023-02-04,38
"68765","2022-2023",6,2023-02-11,46
"58280","2022-2023",7,2023-02-18,45
"74925","2022-2023",8,2023-02-25,51
"72529","2022-2023",9,2023-03-04,58
"81982","2022-2023",10,2023-03-11,56
"68685","2022-2023",11,2023-03-18,77
"61307","2022-2023",12,2023-03-25,102
